,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Esyt1,6.80E-105,0.280048246,0.417,0.174,1.41E-100,Macro,Esyt1
Aspa,1.23E-104,0.331680558,0.101,0.006,2.55E-100,Macro,Aspa
Slc7a21,2.53E-104,0.382676771,0.795,0.418,5.26E-100,Macro,Slc7a2
Pdcd52,2.86E-104,0.313512007,0.674,0.351,5.95E-100,Macro,Pdcd5
Dync1h11,3.94E-104,0.325780288,0.618,0.315,8.20E-100,Macro,Dync1h1
Psmd6,4.57E-104,0.283168821,0.503,0.229,9.49E-100,Macro,Psmd6
Pgls2,5.43E-104,0.337791332,0.746,0.411,1.13E-99,Macro,Pgls
Eif2a,1.01E-103,0.264156922,0.464,0.2,2.11E-99,Macro,Eif2a
Bola21,2.54E-103,0.306702147,0.539,0.255,5.28E-99,Macro,Bola2
Myo1e1,4.13E-103,0.4930555,0.799,0.427,8.59E-99,Macro,Myo1e
Snrpe2,4.17E-103,0.402861677,0.815,0.468,8.66E-99,Macro,Snrpe
Atg10,1.09E-102,0.313391158,0.479,0.212,2.26E-98,Macro,Atg10
Macf11,2.23E-102,0.463698731,0.838,0.505,4.64E-98,Macro,Macf1
Ran1,2.45E-102,0.376862536,0.785,0.447,5.09E-98,Macro,Ran
Gm4951,7.88E-102,0.278025603,0.221,0.057,1.64E-97,Macro,Gm4951
Lrp6,3.05E-101,0.305481296,0.345,0.128,6.35E-97,Macro,Lrp6
Phb21,3.56E-101,0.310261039,0.63,0.326,7.41E-97,Macro,Phb2
Wdr891,4.73E-101,0.322316412,0.657,0.345,9.84E-97,Macro,Wdr89
Tuba1b2,6.36E-101,0.417112114,0.732,0.401,1.32E-96,Macro,Tuba1b
Tomm201,6.91E-101,0.4168341,0.841,0.514,1.44E-96,Macro,Tomm20
Mtss11,8.85E-101,0.511252333,0.673,0.356,1.84E-96,Macro,Mtss1
H2-DMa2,1.05E-100,0.456178318,0.675,0.359,2.19E-96,Macro,H2-DMa
Fgf131,1.06E-100,0.385928045,0.182,0.038,2.19E-96,Macro,Fgf13
Btf31,1.56E-100,0.463565262,0.912,0.688,3.24E-96,Macro,Btf3
Snrpd21,1.67E-100,0.297702936,0.688,0.372,3.47E-96,Macro,Snrpd2
Ptpra,1.69E-100,0.263555713,0.483,0.216,3.51E-96,Macro,Ptpra
Cops91,2.11E-100,0.316091856,0.636,0.326,4.38E-96,Macro,Cops9
Snhg12,2.86E-100,0.259080972,0.288,0.094,5.94E-96,Macro,Snhg12
Eny21,2.86E-100,0.306098779,0.545,0.263,5.94E-96,Macro,Eny2
Cct32,3.52E-100,0.280022117,0.584,0.29,7.33E-96,Macro,Cct3
Pdia61,4.98E-100,0.377308983,0.623,0.325,1.03E-95,Macro,Pdia6
Ftl1-ps11,5.30E-100,0.466974077,0.737,0.442,1.10E-95,Macro,Ftl1-ps1
Ppp1r14b1,6.32E-100,0.392719397,0.811,0.456,1.32E-95,Macro,Ppp1r14b
Lyz1,6.45E-100,0.331982494,0.123,0.015,1.34E-95,Macro,Lyz1
Stk31,7.54E-100,0.30322494,0.464,0.206,1.57E-95,Macro,Stk3
Metap21,7.93E-100,0.29827739,0.611,0.309,1.65E-95,Macro,Metap2
Eef1d1,8.09E-100,0.36123372,0.759,0.425,1.68E-95,Macro,Eef1d
Efnb2,9.02E-100,0.364477864,0.158,0.029,1.88E-95,Macro,Efnb2
Lap31,9.35E-100,0.295069176,0.418,0.177,1.94E-95,Macro,Lap3
Serpinb2,1.32E-99,1.171537244,0.165,0.033,2.76E-95,Macro,Serpinb2
Psmb41,1.55E-99,0.348923199,0.741,0.418,3.22E-95,Macro,Psmb4
Vwa5a1,1.66E-99,0.276650324,0.483,0.223,3.44E-95,Macro,Vwa5a
Cox16,1.70E-99,0.255660793,0.543,0.26,3.54E-95,Macro,Cox16
Fgfr1,5.77E-99,0.501195658,0.163,0.032,1.20E-94,Macro,Fgfr1
Lhfpl21,9.38E-99,0.388175648,0.445,0.202,1.95E-94,Macro,Lhfpl2
Dok2,9.59E-99,0.324318559,0.341,0.13,1.99E-94,Macro,Dok2
Ndufs61,9.98E-99,0.286148801,0.637,0.328,2.07E-94,Macro,Ndufs6
Idh2,1.07E-98,0.257542354,0.418,0.176,2.23E-94,Macro,Idh2
Lamtor41,3.32E-98,0.321569715,0.754,0.422,6.90E-94,Macro,Lamtor4
B4galt5,5.13E-98,0.299610686,0.597,0.299,1.07E-93,Macro,B4galt5
Sdf2l1,5.87E-98,0.336327853,0.407,0.174,1.22E-93,Macro,Sdf2l1
Itgam,1.51E-97,0.27696154,0.761,0.378,3.15E-93,Macro,Itgam
Cd831,2.31E-97,0.470927267,0.591,0.312,4.81E-93,Macro,Cd83
Nt5c1,2.57E-97,0.262581689,0.468,0.21,5.34E-93,Macro,Nt5c
Rars,2.90E-97,0.282193394,0.481,0.223,6.03E-93,Macro,Rars
Rusc21,3.61E-97,0.300397632,0.342,0.13,7.50E-93,Macro,Rusc2
Gspt11,3.91E-97,0.292058226,0.575,0.293,8.14E-93,Macro,Gspt1
Eif3l1,4.44E-97,0.251210049,0.517,0.24,9.23E-93,Macro,Eif3l
Commd31,4.87E-97,0.26307797,0.566,0.283,1.01E-92,Macro,Commd3
Uqcrc1,5.58E-97,0.254955593,0.517,0.242,1.16E-92,Macro,Uqcrc1
Npc11,7.63E-97,0.307847801,0.553,0.283,1.59E-92,Macro,Npc1
Garnl3,7.65E-97,0.46668254,0.137,0.021,1.59E-92,Macro,Garnl3
Mmp13,8.37E-97,0.553266932,0.101,0.008,1.74E-92,Macro,Mmp13
Manf1,1.24E-96,0.383852095,0.684,0.378,2.57E-92,Macro,Manf
Rnf130,1.37E-96,0.287939037,0.712,0.405,2.86E-92,Macro,Rnf130
Clec4a1,2.46E-96,0.255092906,0.135,0.02,5.12E-92,Macro,Clec4a1
Ptger42,3.07E-96,0.394122106,0.584,0.299,6.38E-92,Macro,Ptger4
Hk2,7.53E-96,0.275015979,0.614,0.313,1.57E-91,Macro,Hk2
Psma51,9.30E-96,0.25485557,0.59,0.298,1.93E-91,Macro,Psma5
Atp2a21,9.68E-96,0.3059294,0.636,0.322,2.01E-91,Macro,Atp2a2
Acp51,1.23E-95,0.617752162,0.557,0.314,2.55E-91,Macro,Acp5
Trappc6a1,1.49E-95,0.270390409,0.465,0.209,3.11E-91,Macro,Trappc6a
Nop531,2.09E-95,0.250242769,0.582,0.29,4.35E-91,Macro,Nop53
Nrp1,4.29E-95,0.32899664,0.396,0.169,8.91E-91,Macro,Nrp1
Timm131,1.31E-94,0.317738571,0.723,0.392,2.73E-90,Macro,Timm13
Rap2b2,1.40E-94,0.275310684,0.506,0.241,2.91E-90,Macro,Rap2b
Fcgr4,2.95E-94,0.561126972,0.604,0.336,6.14E-90,Macro,Fcgr4
Snx6,4.27E-94,0.253445008,0.536,0.262,8.88E-90,Macro,Snx6
Ap3s1,4.29E-94,0.258171016,0.715,0.408,8.92E-90,Macro,Ap3s1
Vdac21,7.72E-94,0.43811263,0.832,0.535,1.61E-89,Macro,Vdac2
Uhrf21,7.95E-94,0.382955501,0.539,0.272,1.65E-89,Macro,Uhrf2
Srgap2,1.41E-93,0.340489486,0.598,0.307,2.93E-89,Macro,Srgap2
Psma71,1.96E-93,0.39033881,0.816,0.494,4.08E-89,Macro,Psma7
Laptm4a1,2.74E-93,0.332009773,0.755,0.426,5.69E-89,Macro,Laptm4a
Rsbn1,2.13E-92,0.396752928,0.368,0.15,4.43E-88,Macro,Rsbn1
Cycs,2.13E-92,0.344282122,0.69,0.389,4.44E-88,Macro,Cycs
Evi5,2.59E-92,0.270160167,0.417,0.184,5.39E-88,Macro,Evi5
Sbf22,3.27E-92,0.396454479,0.56,0.285,6.81E-88,Macro,Sbf2
mt-Nd31,4.52E-92,0.451980879,0.788,0.451,9.40E-88,Macro,mt-Nd3
Hivep31,5.21E-92,0.307734221,0.618,0.303,1.08E-87,Macro,Hivep3
Ptpro1,1.34E-91,0.298350198,0.235,0.071,2.79E-87,Macro,Ptpro
Atp5b2,1.67E-91,0.424681346,0.842,0.54,3.47E-87,Macro,Atp5b
Psma61,2.27E-91,0.350298917,0.72,0.405,4.73E-87,Macro,Psma6
Psmd21,2.42E-91,0.265467865,0.587,0.302,5.03E-87,Macro,Psmd2
Atp5mpl1,2.86E-91,0.30054451,0.736,0.415,5.95E-87,Macro,Atp5mpl
Tomm51,4.73E-91,0.251092909,0.546,0.271,9.83E-87,Macro,Tomm5
Ddhd11,5.11E-91,0.47189243,0.671,0.372,1.06E-86,Macro,Ddhd1
Glipr1,7.72E-91,0.315732937,0.618,0.337,1.61E-86,Macro,Glipr1
Psmc61,1.06E-90,0.253068025,0.604,0.314,2.20E-86,Macro,Psmc6
Wwp1,1.25E-90,0.275432869,0.423,0.186,2.59E-86,Macro,Wwp1
Mir99ahg,1.73E-90,0.270228225,0.145,0.026,3.61E-86,Macro,Mir99ahg
Renbp1,2.07E-90,0.264498648,0.46,0.214,4.30E-86,Macro,Renbp
Itm2c2,5.09E-90,0.287201006,0.592,0.307,1.06E-85,Macro,Itm2c
Ttc39c1,7.65E-90,0.331851805,0.499,0.238,1.59E-85,Macro,Ttc39c
Cct6a1,1.40E-89,0.261785871,0.636,0.333,2.90E-85,Macro,Cct6a
Fam120a1,1.57E-89,0.273924498,0.579,0.299,3.26E-85,Macro,Fam120a
Fam117b1,1.60E-89,0.339230647,0.631,0.335,3.33E-85,Macro,Fam117b
mt-Nd21,1.60E-89,0.494687757,0.894,0.534,3.33E-85,Macro,mt-Nd2
Sms,2.16E-89,0.253582899,0.347,0.138,4.48E-85,Macro,Sms
Selp,2.20E-89,0.350493814,0.128,0.019,4.58E-85,Macro,Selp
Pepd1,5.95E-89,0.251677584,0.407,0.177,1.24E-84,Macro,Pepd
Htt,6.36E-89,0.254857296,0.43,0.191,1.32E-84,Macro,Htt
Gyg2,7.65E-89,0.330620539,0.61,0.327,1.59E-84,Macro,Gyg
Immp2l1,1.31E-88,0.321572769,0.373,0.154,2.73E-84,Macro,Immp2l
AI6622702,4.55E-88,0.299172531,0.49,0.237,9.46E-84,Macro,AI662270
Ero1l,8.61E-88,0.362482194,0.507,0.246,1.79E-83,Macro,Ero1l
Micos13,1.17E-87,0.252204564,0.666,0.365,2.44E-83,Macro,Micos13
Clta1,1.24E-87,0.433755644,0.905,0.66,2.57E-83,Macro,Clta
Nme11,1.73E-87,0.376118954,0.727,0.412,3.60E-83,Macro,Nme1
Mrpl121,2.21E-87,0.252573789,0.517,0.251,4.59E-83,Macro,Mrpl12
Pkm,3.07E-87,0.541244836,0.918,0.734,6.39E-83,Macro,Pkm
Lamtor1,7.72E-87,0.274695742,0.718,0.42,1.61E-82,Macro,Lamtor1
Capns11,1.75E-86,0.312835738,0.76,0.432,3.64E-82,Macro,Capns1
Tspo1,1.92E-86,0.437580765,0.886,0.648,4.00E-82,Macro,Tspo
Adgre1,2.64E-86,0.352378042,0.651,0.365,5.49E-82,Macro,Adgre1
Ssr3,4.15E-86,0.284344772,0.666,0.363,8.63E-82,Macro,Ssr3
Ltbp1,5.95E-86,0.992136169,0.218,0.066,1.24E-81,Macro,Ltbp1
Cpd,1.73E-85,0.327223808,0.805,0.499,3.60E-81,Macro,Cpd
Hnrnpab1,1.92E-85,0.295370191,0.731,0.414,3.99E-81,Macro,Hnrnpab
Id22,2.79E-85,0.467090416,0.814,0.502,5.80E-81,Macro,Id2
Dcstamp1,3.03E-85,0.304944283,0.137,0.025,6.29E-81,Macro,Dcstamp
Rtn41,4.96E-85,0.383141035,0.877,0.614,1.03E-80,Macro,Rtn4
P4hb,5.08E-85,0.365146333,0.761,0.451,1.06E-80,Macro,P4hb
Set2,1.14E-84,0.2979515,0.718,0.404,2.37E-80,Macro,Set
Nus11,1.15E-84,0.262088319,0.66,0.346,2.39E-80,Macro,Nus1
Ccl61,1.39E-84,0.850291219,0.954,0.822,2.89E-80,Macro,Ccl6
Luzp11,1.91E-84,0.302519514,0.565,0.287,3.98E-80,Macro,Luzp1
Atp6v1c11,2.25E-84,0.35045572,0.607,0.34,4.68E-80,Macro,Atp6v1c1
Pik3r11,3.09E-84,0.400977201,0.71,0.415,6.43E-80,Macro,Pik3r1
Flrt31,3.11E-84,0.274057234,0.19,0.05,6.47E-80,Macro,Flrt3
Serbp12,3.94E-84,0.363780866,0.828,0.489,8.20E-80,Macro,Serbp1
Prelid11,4.63E-84,0.325558007,0.79,0.477,9.63E-80,Macro,Prelid1
Ncl2,8.00E-84,0.389910106,0.84,0.525,1.66E-79,Macro,Ncl
Psma42,8.43E-84,0.315865121,0.695,0.387,1.75E-79,Macro,Psma4
Pdia31,1.24E-83,0.400118732,0.803,0.472,2.58E-79,Macro,Pdia3
Ly6a1,1.35E-83,0.343626587,0.492,0.241,2.80E-79,Macro,Ly6a
Atp5j22,2.12E-83,0.330154986,0.756,0.445,4.41E-79,Macro,Atp5j2
Timp1,6.25E-83,0.320659471,0.418,0.187,1.30E-78,Macro,Timp1
Slc38a61,1.78E-82,0.267400233,0.571,0.29,3.71E-78,Macro,Slc38a6
Ppfibp11,2.31E-82,0.334104594,0.47,0.233,4.80E-78,Macro,Ppfibp1
Vcam1,2.43E-82,0.421904367,0.238,0.078,5.06E-78,Macro,Vcam1
H2-D1,2.59E-82,0.391866797,0.958,0.913,5.39E-78,Macro,H2-D1
Aprt1,3.75E-82,0.42616933,0.832,0.497,7.81E-78,Macro,Aprt
Acaa21,4.73E-82,0.254525301,0.481,0.236,9.83E-78,Macro,Acaa2
Capn21,6.13E-82,0.27075345,0.464,0.223,1.27E-77,Macro,Capn2
Cox4i11,8.52E-82,0.388990973,0.936,0.751,1.77E-77,Macro,Cox4i1
Slc25a31,8.91E-82,0.370844444,0.855,0.561,1.85E-77,Macro,Slc25a3
Exoc6b,9.05E-82,0.254201697,0.561,0.288,1.88E-77,Macro,Exoc6b
Cadm11,9.56E-82,0.301494451,0.165,0.039,1.99E-77,Macro,Cadm1
Ptbp11,1.72E-81,0.270426628,0.572,0.297,3.57E-77,Macro,Ptbp1
Adam91,1.81E-81,0.251860738,0.52,0.259,3.76E-77,Macro,Adam9
Mt21,1.99E-81,0.920369646,0.493,0.269,4.14E-77,Macro,Mt2
Clcn7,2.72E-81,0.257856059,0.391,0.177,5.67E-77,Macro,Clcn7
mt-Nd41,3.06E-81,0.411349248,0.972,0.7,6.36E-77,Macro,mt-Nd4
Dbi1,7.69E-81,0.393569729,0.815,0.443,1.60E-76,Macro,Dbi
H2-DMb12,1.02E-80,0.440031719,0.588,0.321,2.12E-76,Macro,H2-DMb1
Rnf2171,3.04E-80,0.448399779,0.464,0.228,6.32E-76,Macro,Rnf217
Ust1,4.02E-80,0.272883091,0.229,0.073,8.36E-76,Macro,Ust
Zfp7031,3.11E-79,0.272431675,0.541,0.275,6.47E-75,Macro,Zfp703
Cdkal12,4.01E-79,0.269015645,0.501,0.252,8.34E-75,Macro,Cdkal1
Tbca2,8.96E-79,0.346704495,0.792,0.452,1.86E-74,Macro,Tbca
Cblb2,2.46E-78,0.312185742,0.7,0.39,5.11E-74,Macro,Cblb
Rnd31,2.71E-78,0.357568571,0.374,0.169,5.64E-74,Macro,Rnd3
Hspd11,9.91E-78,0.266978775,0.637,0.355,2.06E-73,Macro,Hspd1
Trio1,3.50E-77,0.324682623,0.66,0.366,7.29E-73,Macro,Trio
Atp5h2,6.02E-77,0.377195721,0.862,0.555,1.25E-72,Macro,Atp5h
Dis3l22,8.34E-77,0.270455833,0.436,0.211,1.74E-72,Macro,Dis3l2
Tep11,1.03E-76,0.260276334,0.433,0.208,2.14E-72,Macro,Tep1
Tnfrsf91,4.71E-76,0.451672632,0.191,0.056,9.79E-72,Macro,Tnfrsf9
Gm472831,5.61E-76,0.370040558,0.348,0.149,1.17E-71,Macro,Gm47283
Ldlrad3,5.69E-76,0.286649935,0.269,0.1,1.18E-71,Macro,Ldlrad3
Atp6v1a1,1.44E-75,0.337445013,0.784,0.484,3.00E-71,Macro,Atp6v1a
Snrpg2,2.14E-75,0.29679354,0.798,0.475,4.45E-71,Macro,Snrpg
Rps91,2.61E-75,0.310975092,0.979,0.954,5.43E-71,Macro,Rps9
Gm26917,4.27E-75,0.717289834,0.534,0.28,8.87E-71,Macro,Gm26917
Pabpc11,9.90E-75,0.406373075,0.902,0.613,2.06E-70,Macro,Pabpc1
Pld31,6.60E-74,0.427237471,0.571,0.327,1.37E-69,Macro,Pld3
Calr1,9.77E-74,0.447458002,0.822,0.502,2.03E-69,Macro,Calr
Snd12,1.85E-73,0.310547394,0.779,0.445,3.84E-69,Macro,Snd1
Ptgis,3.10E-73,0.355183263,0.193,0.059,6.44E-69,Macro,Ptgis
Uqcr111,3.91E-73,0.26859672,0.719,0.413,8.13E-69,Macro,Uqcr11
Sertad21,5.14E-73,0.250193731,0.581,0.314,1.07E-68,Macro,Sertad2
Cox6c2,6.11E-73,0.3662068,0.838,0.528,1.27E-68,Macro,Cox6c
Ptprm,8.30E-73,0.277047534,0.161,0.042,1.73E-68,Macro,Ptprm
Rad51b,1.65E-72,0.400056323,0.26,0.098,3.43E-68,Macro,Rad51b
Dpysl22,4.69E-72,0.268173245,0.471,0.238,9.75E-68,Macro,Dpysl2
Vmp1,1.64E-71,0.293840426,0.823,0.532,3.41E-67,Macro,Vmp1
Ndufa21,2.52E-71,0.27025003,0.785,0.47,5.25E-67,Macro,Ndufa2
Eif3a1,6.60E-71,0.324203608,0.8,0.474,1.37E-66,Macro,Eif3a
Clec10a1,2.13E-70,0.302013723,0.128,0.026,4.43E-66,Macro,Clec10a
Arhgap241,2.90E-70,0.42964349,0.811,0.543,6.02E-66,Macro,Arhgap24
Nrip12,3.67E-70,0.427983004,0.731,0.41,7.63E-66,Macro,Nrip1
Ccl8,7.20E-70,1.395034551,0.144,0.035,1.50E-65,Macro,Ccl8
Tmed101,1.11E-68,0.300401601,0.831,0.521,2.30E-64,Macro,Tmed10
Tank1,1.39E-68,0.342475841,0.823,0.543,2.88E-64,Macro,Tank
S100a11,1.96E-68,0.273743154,0.608,0.336,4.08E-64,Macro,S100a1
Ap2a21,2.99E-68,0.29338079,0.471,0.248,6.22E-64,Macro,Ap2a2
AI5044321,3.53E-68,0.268792713,0.519,0.271,7.33E-64,Macro,AI504432
Psma21,4.03E-68,0.257911289,0.805,0.493,8.37E-64,Macro,Psma2
Atf3,1.09E-67,0.331443138,0.758,0.485,2.26E-63,Macro,Atf3
Rps27l2,1.09E-67,0.332537364,0.852,0.547,2.26E-63,Macro,Rps27l
Sgk11,3.00E-67,0.26035077,0.851,0.488,6.23E-63,Macro,Sgk1
Jun,4.04E-67,0.31524229,0.765,0.475,8.41E-63,Macro,Jun
Fbxo32,7.94E-67,0.351387473,0.247,0.097,1.65E-62,Macro,Fbxo32
2410006H16Rik1,4.15E-66,0.279917922,0.605,0.346,8.64E-62,Macro,2410006H16Rik
Furin1,7.34E-66,0.399074028,0.769,0.487,1.53E-61,Macro,Furin
AY0361181,1.08E-65,0.25743152,0.671,0.387,2.25E-61,Macro,AY036118
Mtpn1,1.92E-65,0.300757342,0.777,0.469,3.99E-61,Macro,Mtpn
mt-Nd51,2.51E-65,0.348967341,0.819,0.467,5.22E-61,Macro,mt-Nd5
Comt1,2.91E-65,0.273030047,0.54,0.293,6.05E-61,Macro,Comt
Jag1,3.89E-65,0.251199999,0.237,0.089,8.09E-61,Macro,Jag1
Cfb1,7.41E-65,0.299455747,0.472,0.248,1.54E-60,Macro,Cfb
Zbtb16,5.50E-64,0.268577115,0.155,0.043,1.14E-59,Macro,Zbtb16
Bri3,8.07E-64,0.302298111,0.872,0.673,1.68E-59,Macro,Bri3
Mgl21,9.00E-64,0.255515645,0.122,0.027,1.87E-59,Macro,Mgl2
Vcp2,6.47E-63,0.276667655,0.736,0.436,1.35E-58,Macro,Vcp
Smdt12,1.58E-62,0.293430218,0.775,0.48,3.28E-58,Macro,Smdt1
Ifitm31,5.15E-62,0.600880502,0.811,0.581,1.07E-57,Macro,Ifitm3
Fos1,8.50E-62,0.417827151,0.889,0.65,1.77E-57,Macro,Fos
Uqcrh2,1.15E-61,0.355895924,0.85,0.571,2.39E-57,Macro,Uqcrh
Atp5f12,2.07E-61,0.311095451,0.832,0.543,4.31E-57,Macro,Atp5f1
Hsp90aa1,2.32E-61,0.282646348,0.849,0.564,4.83E-57,Macro,Hsp90aa1
Cox5b1,3.28E-61,0.268977367,0.823,0.545,6.82E-57,Macro,Cox5b
Atp5a11,1.19E-60,0.314600705,0.852,0.524,2.48E-56,Macro,Atp5a1
Tkt1,2.49E-60,0.250275291,0.788,0.469,5.17E-56,Macro,Tkt
Klf61,1.45E-59,0.358233119,0.923,0.738,3.02E-55,Macro,Klf6
Zeb21,3.28E-59,0.356689751,0.969,0.849,6.82E-55,Macro,Zeb2
Acaca,8.77E-59,0.377641163,0.376,0.192,1.82E-54,Macro,Acaca
C4b,2.03E-58,1.052791247,0.24,0.106,4.23E-54,Macro,C4b
Ywhah2,2.43E-58,0.254341731,0.734,0.45,5.06E-54,Macro,Ywhah
Peli11,1.05E-57,0.37869872,0.793,0.526,2.18E-53,Macro,Peli1
Hif1a,1.29E-57,0.279289221,0.867,0.632,2.69E-53,Macro,Hif1a
Fnip1,1.79E-57,0.303842285,0.82,0.535,3.73E-53,Macro,Fnip1
Khk,2.30E-57,0.289552672,0.225,0.09,4.78E-53,Macro,Khk
AW1120102,2.20E-56,0.329322476,0.735,0.448,4.58E-52,Macro,AW112010
Hspa1a,7.69E-56,0.313063062,0.109,0.025,1.60E-51,Macro,Hspa1a
Ywhae2,7.94E-55,0.301611273,0.824,0.512,1.65E-50,Macro,Ywhae
Hipk21,1.33E-54,0.298715765,0.727,0.434,2.77E-50,Macro,Hipk2
Gpx4,9.16E-54,0.276565212,0.841,0.576,1.90E-49,Macro,Gpx4
Slc25a51,8.18E-53,0.253297113,0.767,0.463,1.70E-48,Macro,Slc25a5
Lmna1,8.31E-53,0.297240529,0.735,0.439,1.73E-48,Macro,Lmna
Plac81,1.57E-51,0.296350017,0.451,0.25,3.27E-47,Macro,Plac8
Epb41l22,1.81E-51,0.299176646,0.838,0.543,3.76E-47,Macro,Epb41l2
Psma32,3.65E-51,0.252758671,0.826,0.522,7.60E-47,Macro,Psma3
Fosb1,1.05E-49,0.315085673,0.822,0.573,2.19E-45,Macro,Fosb
Gm13986,2.02E-49,0.256113634,0.182,0.067,4.20E-45,Macro,Gm13986
Slc9a9,8.99E-48,0.254058723,0.448,0.251,1.87E-43,Macro,Slc9a9
Rps271,1.19E-47,0.279786511,0.948,0.846,2.48E-43,Macro,Rps27
Tcof12,3.44E-46,0.265538443,0.389,0.209,7.14E-42,Macro,Tcof1
Pcbp21,1.50E-45,0.27519211,0.88,0.59,3.12E-41,Macro,Pcbp2
Cox5a2,6.67E-44,0.317212085,0.888,0.6,1.39E-39,Macro,Cox5a
Mef2a,1.56E-43,0.28404584,0.871,0.636,3.25E-39,Macro,Mef2a
Malt12,5.39E-43,0.407469735,0.872,0.671,1.12E-38,Macro,Malt1
Hnrnpa32,1.29E-40,0.256517278,0.865,0.565,2.68E-36,Macro,Hnrnpa3
Rbm32,2.03E-40,0.296859401,0.928,0.683,4.22E-36,Macro,Rbm3
Cxcl14,5.77E-38,0.262190793,0.179,0.079,1.20E-33,Macro,Cxcl14
Fth1,6.09E-35,0.31681202,0.997,0.999,1.27E-30,Macro,Fth1
Serpine11,1.80E-34,0.765679449,0.407,0.271,3.74E-30,Macro,Serpine1
Scgb1a1,1.73E-32,0.734288666,0.301,0.162,3.60E-28,Macro,Scgb1a1
Igkc1,6.07E-31,0.486844268,0.747,0.492,1.26E-26,Macro,Igkc
Gpx11,1.84E-27,0.302597335,0.894,0.689,3.83E-23,Macro,Gpx1
Cxcl91,6.56E-22,0.308925705,0.15,0.077,1.36E-17,Macro,Cxcl9
Plxdc21,1.43E-19,0.618913764,0.687,0.49,2.97E-15,Macro,Plxdc2
Hspa5,7.06E-07,0.255211423,0.9,0.773,0.01468852,Macro,Hspa5
Marco1,2.37E-05,0.981639611,0.226,0.191,0.492084754,Macro,Marco
S100a9,0,6.410030975,0.932,0.543,0,PMN-MDSC,S100a9
S100a8,0,6.027822572,0.931,0.575,0,PMN-MDSC,S100a8
Retnlg,0,4.98670033,0.555,0.175,0,PMN-MDSC,Retnlg
G0s2,0,4.654473558,0.763,0.182,0,PMN-MDSC,G0s2
Hdc,0,4.32944782,0.909,0.146,0,PMN-MDSC,Hdc
Il1r2,0,3.998940076,0.931,0.268,0,PMN-MDSC,Il1r2
Acod1,0,3.912801104,0.913,0.554,0,PMN-MDSC,Acod1
Csf3r,0,3.521152345,0.866,0.228,0,PMN-MDSC,Csf3r
Antxr2,0,3.198214375,0.921,0.721,0,PMN-MDSC,Antxr2
Mxd1,0,3.116257235,0.805,0.365,0,PMN-MDSC,Mxd1
Sgms2,0,3.035146335,0.763,0.576,0,PMN-MDSC,Sgms2
Il1b,0,3.032688857,0.985,0.856,0,PMN-MDSC,Il1b
Clec4e,0,2.926849919,0.817,0.586,0,PMN-MDSC,Clec4e
Entpd1,0,2.92021714,0.721,0.454,0,PMN-MDSC,Entpd1
Mmp9,0,2.887219697,0.63,0.067,0,PMN-MDSC,Mmp9
Cass4,0,2.867443352,0.663,0.157,0,PMN-MDSC,Cass4
Abtb2,0,2.791153174,0.792,0.477,0,PMN-MDSC,Abtb2
Resf1,0,2.781287369,0.826,0.66,0,PMN-MDSC,Resf1
Lmnb1,0,2.723167653,0.856,0.535,0,PMN-MDSC,Lmnb1
Sorl1,0,2.710866893,0.683,0.234,0,PMN-MDSC,Sorl1
Igf1r,0,2.710611414,0.685,0.32,0,PMN-MDSC,Igf1r
Ripor21,0,2.703960401,0.557,0.263,0,PMN-MDSC,Ripor2
Srgn,0,2.638077628,0.997,0.972,0,PMN-MDSC,Srgn
Trem1,0,2.570217709,0.801,0.531,0,PMN-MDSC,Trem1
Csf1,0,2.505893573,0.493,0.151,0,PMN-MDSC,Csf1
Clec4d,0,2.470136327,0.901,0.718,0,PMN-MDSC,Clec4d
Lyst,0,2.362325475,0.781,0.7,0,PMN-MDSC,Lyst
Il18rap,0,2.332119442,0.538,0.114,0,PMN-MDSC,Il18rap
Sema4d,0,2.322039074,0.659,0.388,0,PMN-MDSC,Sema4d
Hp,0,2.294322783,0.51,0.186,0,PMN-MDSC,Hp
Arg2,0,2.279982281,0.583,0.272,0,PMN-MDSC,Arg2
Slfn1,0,2.250639584,0.492,0.114,0,PMN-MDSC,Slfn1
Samsn1,0,2.245929514,0.82,0.701,0,PMN-MDSC,Samsn1
Chst11,0,2.245692581,0.667,0.394,0,PMN-MDSC,Chst11
Pglyrp1,0,2.21341495,0.433,0.069,0,PMN-MDSC,Pglyrp1
Trem3,0,2.205000581,0.529,0.2,0,PMN-MDSC,Trem3
Ptgs2,0,2.186777424,0.7,0.458,0,PMN-MDSC,Ptgs2
Ankrd33b,0,2.179067239,0.57,0.271,0,PMN-MDSC,Ankrd33b
Ifitm2,0,2.146261843,0.809,0.725,0,PMN-MDSC,Ifitm2
Cebpb,0,2.104812479,0.962,0.882,0,PMN-MDSC,Cebpb
Mirt1,0,2.09119956,0.458,0.091,0,PMN-MDSC,Mirt1
Ccr1,0,2.053025633,0.756,0.626,0,PMN-MDSC,Ccr1
Cxcr2,0,2.046750634,0.445,0.043,0,PMN-MDSC,Cxcr2
Dennd4a,0,2.024026439,0.967,0.952,0,PMN-MDSC,Dennd4a
Ets2,0,1.972806037,0.859,0.771,0,PMN-MDSC,Ets2
S100a6,0,1.959994115,0.899,0.956,0,PMN-MDSC,S100a6
Irak2,0,1.935668986,0.817,0.798,0,PMN-MDSC,Irak2
